Input	Output
cgbo right thrice after turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_CGBO I_TURN_RIGHT I_CGBO I_TURN_RIGHT I_CGBO
turn opposite left after nvnj opposite left twice	I_TURN_LEFT I_TURN_LEFT I_NVNJ I_TURN_LEFT I_TURN_LEFT I_NVNJ I_TURN_LEFT I_TURN_LEFT
uajp opposite left thrice after turn around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_TURN_LEFT I_UAJP I_TURN_LEFT I_TURN_LEFT I_UAJP
xlgm thrice after turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_XLGM I_XLGM I_XLGM
tpdt around left after tpdt around right thrice	I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT I_TURN_LEFT I_TPDT
coaf around left twice after coaf around left thrice	I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF I_TURN_LEFT I_COAF
vgha right twice after equr opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_EQUR I_TURN_LEFT I_TURN_LEFT I_EQUR I_TURN_LEFT I_TURN_LEFT I_EQUR I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA
imql around right and imql around right	I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL I_TURN_RIGHT I_IMQL
turn opposite left and turn left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn right thrice and mckn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_MCKN
zsvr opposite left thrice and xrym right thrice	I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_LEFT I_TURN_LEFT I_ZSVR I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM I_TURN_RIGHT I_XRYM
vbcx right after oymp around right	I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_VBCX
turn opposite right and turn left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn around right and kbcp twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_KBCP I_KBCP
bpwa right thrice after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_BPWA I_TURN_RIGHT I_BPWA I_TURN_RIGHT I_BPWA
turn left thrice and gjtz around left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ I_TURN_LEFT I_GJTZ
reqk around left thrice	I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK I_TURN_LEFT I_REQK
xrym right after kvur left	I_TURN_LEFT I_KVUR I_TURN_RIGHT I_XRYM
wjdv opposite left after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_WJDV
turn around left after zwjm around right thrice	I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_RIGHT I_ZWJM I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
lwmo right thrice after turn opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO I_TURN_RIGHT I_LWMO
turn around left twice and oymp around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP I_TURN_LEFT I_OYMP
xlgm around right twice and xlgm around left	I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_RIGHT I_XLGM I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM I_TURN_LEFT I_XLGM
nawm opposite right after nawm left thrice	I_TURN_LEFT I_NAWM I_TURN_LEFT I_NAWM I_TURN_LEFT I_NAWM I_TURN_RIGHT I_TURN_RIGHT I_NAWM
oymp right and asmf right	I_TURN_RIGHT I_OYMP I_TURN_RIGHT I_ASMF
turn left twice after cgrz opposite left thrice	I_TURN_LEFT I_TURN_LEFT I_CGRZ I_TURN_LEFT I_TURN_LEFT I_CGRZ I_TURN_LEFT I_TURN_LEFT I_CGRZ I_TURN_LEFT I_TURN_LEFT
turn left thrice after dlmc right twice	I_TURN_RIGHT I_DLMC I_TURN_RIGHT I_DLMC I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn right and vlbo around right	I_TURN_RIGHT I_TURN_RIGHT I_VLBO I_TURN_RIGHT I_VLBO I_TURN_RIGHT I_VLBO I_TURN_RIGHT I_VLBO
run around right and abiu around left thrice	I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_RIGHT I_RUN I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU
gyjs around left thrice and gyjs left twice	I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS I_TURN_LEFT I_GYJS
cgrz thrice after cgrz opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_CGRZ I_TURN_RIGHT I_TURN_RIGHT I_CGRZ I_CGRZ I_CGRZ I_CGRZ
turn around right and asmf opposite left twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_ASMF I_TURN_LEFT I_TURN_LEFT I_ASMF
reqk opposite right after reqk thrice	I_REQK I_REQK I_REQK I_TURN_RIGHT I_TURN_RIGHT I_REQK
turn opposite right twice after icho around left twice	I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_LEFT I_ICHO I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
xrym around left thrice and turn left twice	I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_XRYM I_TURN_LEFT I_TURN_LEFT
cgbo and turn opposite right thrice	I_CGBO I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
volb around right thrice after volb around left thrice	I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_LEFT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB I_TURN_RIGHT I_VOLB
uzoh left twice after txpe around left twice	I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_TXPE I_TURN_LEFT I_UZOH I_TURN_LEFT I_UZOH
coaf right thrice and turn left	I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_LEFT
turn right and zhkg left twice	I_TURN_RIGHT I_TURN_LEFT I_ZHKG I_TURN_LEFT I_ZHKG
turn around right and mgai around left thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI I_TURN_LEFT I_MGAI
tyuv opposite right twice and tyuv around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV I_TURN_RIGHT I_TYUV
turn left twice after qqiu around left	I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_QQIU I_TURN_LEFT I_TURN_LEFT
dxpw opposite right twice after qlcv around right twice	I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_QLCV I_TURN_RIGHT I_TURN_RIGHT I_DXPW I_TURN_RIGHT I_TURN_RIGHT I_DXPW
wpkt around left thrice and qlcv left twice	I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_WPKT I_TURN_LEFT I_QLCV I_TURN_LEFT I_QLCV
nvnj opposite right thrice and turn right twice	I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_TURN_RIGHT I_NVNJ I_TURN_RIGHT I_TURN_RIGHT
vgha around right and vgha opposite right twice	I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_TURN_RIGHT I_VGHA I_TURN_RIGHT I_TURN_RIGHT I_VGHA
lfka thrice and lfka thrice	I_LFKA I_LFKA I_LFKA I_LFKA I_LFKA I_LFKA
mckn around left thrice after abiu left thrice	I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_ABIU I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN I_TURN_LEFT I_MCKN
dpan right after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_DPAN
dxpw left twice after dxpw	I_DXPW I_TURN_LEFT I_DXPW I_TURN_LEFT I_DXPW
xkhp opposite left and xkhp around right	I_TURN_LEFT I_TURN_LEFT I_XKHP I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP I_TURN_RIGHT I_XKHP
pzur opposite right and jpxb around left	I_TURN_RIGHT I_TURN_RIGHT I_PZUR I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB I_TURN_LEFT I_JPXB
yqvi opposite left after yqvi around right thrice	I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_RIGHT I_YQVI I_TURN_LEFT I_TURN_LEFT I_YQVI
knfs twice and txpe twice	I_KNFS I_KNFS I_TXPE I_TXPE
hfro opposite right and turn opposite left twice	I_TURN_RIGHT I_TURN_RIGHT I_HFRO I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
jjep opposite right twice and jjep twice	I_TURN_RIGHT I_TURN_RIGHT I_JJEP I_TURN_RIGHT I_TURN_RIGHT I_JJEP I_JJEP I_JJEP
zhkg right thrice	I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG I_TURN_RIGHT I_ZHKG
turn around left thrice and qnsr	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_QNSR
yvbl right twice after idej around left thrice	I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_LEFT I_IDEJ I_TURN_RIGHT I_YVBL I_TURN_RIGHT I_YVBL
kvur left twice after gmha left twice	I_TURN_LEFT I_GMHA I_TURN_LEFT I_GMHA I_TURN_LEFT I_KVUR I_TURN_LEFT I_KVUR
turn around right twice and turn around right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn around right twice and wpkt left	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_WPKT
zwjm thrice after pvrq	I_PVRQ I_ZWJM I_ZWJM I_ZWJM
byrr thrice after turn opposite left twice	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_BYRR I_BYRR I_BYRR
turn opposite left twice after reqk around right twice	I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_RIGHT I_REQK I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
qnsr right twice and turn around left twice	I_TURN_RIGHT I_QNSR I_TURN_RIGHT I_QNSR I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
hklu right twice and dpnk right thrice	I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_HKLU I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK I_TURN_RIGHT I_DPNK
bpwa left and turn opposite right thrice	I_TURN_LEFT I_BPWA I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite left twice after turn right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
yqvi around left twice after yqvi twice	I_YQVI I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI I_TURN_LEFT I_YQVI
ohlm left thrice after ohlm opposite right	I_TURN_RIGHT I_TURN_RIGHT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM I_TURN_LEFT I_OHLM
garz right twice after coaf	I_COAF I_TURN_RIGHT I_GARZ I_TURN_RIGHT I_GARZ
lfka opposite left after turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_LEFT I_TURN_LEFT I_LFKA
turn around right and rksp right	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_RKSP
cufv left twice after vbcx thrice	I_VBCX I_VBCX I_VBCX I_TURN_LEFT I_CUFV I_TURN_LEFT I_CUFV
qrwp opposite right twice after qrwp around right twice	I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP
yvbl left and yvbl left thrice	I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL I_TURN_LEFT I_YVBL
qrwp around left and qrwp opposite right	I_TURN_LEFT I_QRWP I_TURN_LEFT I_QRWP I_TURN_LEFT I_QRWP I_TURN_LEFT I_QRWP I_TURN_RIGHT I_TURN_RIGHT I_QRWP
turn around right twice and fcbf around right twice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF I_TURN_RIGHT I_FCBF
wjdv opposite right thrice after wjdv around left twice	I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV I_TURN_RIGHT I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_TURN_RIGHT I_WJDV I_TURN_RIGHT I_TURN_RIGHT I_WJDV
ohlm around right twice	I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM I_TURN_RIGHT I_OHLM
iugo right after iugo left	I_TURN_LEFT I_IUGO I_TURN_RIGHT I_IUGO
turn opposite right and turn opposite right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn left twice after hklu around left twice	I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_HKLU I_TURN_LEFT I_TURN_LEFT
turn opposite left twice and turn around left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn left thrice after turn left	I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT I_TURN_LEFT
turn right twice after rqli right thrice	I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_RQLI I_TURN_RIGHT I_TURN_RIGHT
rjxc opposite right thrice after turn left	I_TURN_LEFT I_TURN_RIGHT I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_TURN_RIGHT I_RJXC I_TURN_RIGHT I_TURN_RIGHT I_RJXC
cufv opposite right twice and turn around right thrice	I_TURN_RIGHT I_TURN_RIGHT I_CUFV I_TURN_RIGHT I_TURN_RIGHT I_CUFV I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
nrob opposite right and mxay around left twice	I_TURN_RIGHT I_TURN_RIGHT I_NROB I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY I_TURN_LEFT I_MXAY
nrob opposite left thrice and turn right twice	I_TURN_LEFT I_TURN_LEFT I_NROB I_TURN_LEFT I_TURN_LEFT I_NROB I_TURN_LEFT I_TURN_LEFT I_NROB I_TURN_RIGHT I_TURN_RIGHT
jcda thrice after coaf around right thrice	I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_TURN_RIGHT I_COAF I_JCDA I_JCDA I_JCDA
mckn around right thrice after turn opposite left	I_TURN_LEFT I_TURN_LEFT I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN I_TURN_RIGHT I_MCKN
turn right thrice after mlbs opposite right twice	I_TURN_RIGHT I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_TURN_RIGHT I_MLBS I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT
turn opposite right twice and pvrq right thrice	I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ I_TURN_RIGHT I_PVRQ
tece around left twice and tpdt right thrice	I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_LEFT I_TECE I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT I_TURN_RIGHT I_TPDT
vosv thrice after qnsr around left	I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_TURN_LEFT I_QNSR I_VOSV I_VOSV I_VOSV
ylhw opposite right thrice and turn opposite right	I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT I_YLHW I_TURN_RIGHT I_TURN_RIGHT
wjdv left twice	I_TURN_LEFT I_WJDV I_TURN_LEFT I_WJDV
zbxv opposite right thrice after garz opposite left	I_TURN_LEFT I_TURN_LEFT I_GARZ I_TURN_RIGHT I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_TURN_RIGHT I_ZBXV I_TURN_RIGHT I_TURN_RIGHT I_ZBXV
